# name	module	support lane	owner
AccessibilitySnapshot	moxi.accessibility	stable-core	portable semantics and actions
ROLE_BUTTON	moxi.accessibility	stable-core	portable semantics and actions
ROLE_CHECKBOX	moxi.accessibility	stable-core	portable semantics and actions
ROLE_CONTAINER	moxi.accessibility	stable-core	portable semantics and actions
ROLE_LABEL	moxi.accessibility	stable-core	portable semantics and actions
ROLE_NONE	moxi.accessibility	stable-core	portable semantics and actions
ROLE_SPACER	moxi.accessibility	stable-core	portable semantics and actions
ROLE_TEXT_INPUT	moxi.accessibility	stable-core	portable semantics and actions
ROLE_PROGRESS_INDICATOR	moxi.accessibility	stable-core	portable semantics and actions
ROLE_SLIDER	moxi.accessibility	stable-core	portable semantics and actions
ROLE_SWITCH	moxi.accessibility	stable-core	portable semantics and actions
ROLE_RADIO	moxi.accessibility	stable-core	portable semantics and actions
ROLE_IMAGE	moxi.accessibility	stable-core	portable semantics and actions
ROLE_TEXT_AREA	moxi.accessibility	stable-core	portable semantics and actions
ROLE_COMBO_BOX	moxi.accessibility	stable-core	portable semantics and actions
ROLE_LIST	moxi.accessibility	stable-core	portable semantics and actions
ROLE_TABLE	moxi.accessibility	stable-core	portable semantics and actions
ROLE_TREE	moxi.accessibility	stable-core	portable semantics and actions
ROLE_MENU	moxi.accessibility	stable-core	portable semantics and actions
ROLE_DIALOG	moxi.accessibility	stable-core	portable semantics and actions
ROLE_TAB_GROUP	moxi.accessibility	stable-core	portable semantics and actions
ROLE_CANVAS	moxi.accessibility	stable-core	portable semantics and actions
ROLE_SEPARATOR	moxi.accessibility	stable-core	portable semantics and actions
Semantics	moxi.accessibility	stable-core	portable semantics and actions
ACTION_NONE	moxi.accessibility	stable-core	portable semantics and actions
ACTION_PRESS	moxi.accessibility	stable-core	portable semantics and actions
ACTION_INCREMENT	moxi.accessibility	stable-core	portable semantics and actions
ACTION_DECREMENT	moxi.accessibility	stable-core	portable semantics and actions
ACTION_SELECT	moxi.accessibility	stable-core	portable semantics and actions
ACTION_EXPAND	moxi.accessibility	stable-core	portable semantics and actions
ACTION_COLLAPSE	moxi.accessibility	stable-core	portable semantics and actions
Point	moxi.geometry	stable-core	portable geometry values
Rect	moxi.geometry	stable-core	portable geometry values
Size	moxi.geometry	stable-core	portable geometry values
Transform	moxi.geometry	stable-core	portable geometry values
BACKEND_GPU	moxi.backend	stable-core	backend capability profiles
BACKEND_HEADLESS	moxi.backend	stable-core	backend capability profiles
BACKEND_LINUX	moxi.backend	stable-core	backend capability profiles
BACKEND_MACOS_APPKIT	moxi.backend	stable-core	backend capability profiles
BACKEND_WINDOWS	moxi.backend	stable-core	backend capability profiles
BACKEND_IOS	moxi.backend	stable-core	backend capability profiles
BACKEND_ANDROID	moxi.backend	stable-core	backend capability profiles
BACKEND_WEB	moxi.backend	stable-core	backend capability profiles
BackendCapabilities	moxi.backend	stable-core	backend capability profiles
backend_capabilities	moxi.backend	stable-core	backend capability profiles
CLICK_KIND	moxi.event	stable-core	normalized input events
COMPOSITION_END_KIND	moxi.event	stable-core	normalized input events
COMPOSITION_UPDATE_KIND	moxi.event	stable-core	normalized input events
FRAME_TICK_KIND	moxi.event	stable-core	normalized input events
KEY_BACKSPACE	moxi.event	stable-core	normalized input events
KEY_A	moxi.event	stable-core	normalized input events
KEY_C	moxi.event	stable-core	normalized input events
KEY_DELETE	moxi.event	stable-core	normalized input events
KEY_DOWN	moxi.event	stable-core	normalized input events
KEY_END	moxi.event	stable-core	normalized input events
KEY_ENTER	moxi.event	stable-core	normalized input events
KEY_ESCAPE	moxi.event	stable-core	normalized input events
KEY_HOME	moxi.event	stable-core	normalized input events
KEY_LEFT	moxi.event	stable-core	normalized input events
KEY_RIGHT	moxi.event	stable-core	normalized input events
KEY_SPACE	moxi.event	stable-core	normalized input events
KEY_TAB	moxi.event	stable-core	normalized input events
KEY_V	moxi.event	stable-core	normalized input events
KEY_X	moxi.event	stable-core	normalized input events
KEY_UP	moxi.event	stable-core	normalized input events
POINTER_MOVE_KIND	moxi.event	stable-core	normalized input events
POINTER_UP_KIND	moxi.event	stable-core	normalized input events
SCROLL_KIND	moxi.event	stable-core	normalized input events
DRAG_BEGIN_KIND	moxi.event	stable-core	normalized input events
DRAG_UPDATE_KIND	moxi.event	stable-core	normalized input events
DROP_KIND	moxi.event	stable-core	normalized input events
TASK_RESULT_KIND	moxi.event	stable-core	normalized input events
TOUCH_BEGIN_KIND	moxi.event	stable-core	normalized input events
TOUCH_UPDATE_KIND	moxi.event	stable-core	normalized input events
TOUCH_END_KIND	moxi.event	stable-core	normalized input events
POINTER_CANCEL_KIND	moxi.event	stable-core	normalized input events
ACTION_KIND	moxi.event	stable-core	normalized input events
KEY_DOWN_KIND	moxi.event	stable-core	normalized input events
MOD_COMMAND	moxi.event	stable-core	normalized input events
MOD_CONTROL	moxi.event	stable-core	normalized input events
MOD_OPTION	moxi.event	stable-core	normalized input events
MOD_SHIFT	moxi.event	stable-core	normalized input events
NONE_KIND	moxi.event	stable-core	normalized input events
NO_ACTION	moxi.event	stable-core	normalized input events
POINTER_DOWN_KIND	moxi.event	stable-core	normalized input events
TEXT_INPUT_KIND	moxi.event	stable-core	normalized input events
WINDOW_RESIZED_KIND	moxi.event	stable-core	normalized input events
ClickEvent	moxi.event	stable-core	normalized input events
CompositionEvent	moxi.event	stable-core	normalized input events
Event	moxi.event	stable-core	normalized input events
FrameEvent	moxi.event	stable-core	normalized input events
KeyEvent	moxi.event	stable-core	normalized input events
PointerEvent	moxi.event	stable-core	normalized input events
TouchEvent	moxi.event	stable-core	normalized input events
ResizeEvent	moxi.event	stable-core	normalized input events
ScrollEvent	moxi.event	stable-core	normalized input events
TaskEvent	moxi.event	stable-core	normalized input events
DragEvent	moxi.event	stable-core	normalized input events
ActionEvent	moxi.event	stable-core	normalized input events
SemanticActionEvent	moxi.event	stable-core	normalized input events
TextInputEvent	moxi.event	stable-core	normalized input events
Component	moxi.component	stable-core	value-owned component contracts
ComponentSlot	moxi.component	stable-core	value-owned component contracts
KeyedSubtreeDescriptor	moxi.component	stable-core	value-owned component contracts
ClipboardBackend	moxi.clipboard	stable-core	host-neutral clipboard or window contracts
MemoryClipboard	moxi.clipboard	stable-core	host-neutral clipboard or window contracts
